"year","value","sd"
2005,275.325575210499,0.556727135752393
2006,276.195455298275,NA
2007,276.46889232779,138717669.574555
2008,276.500463888069,3357265806.72845
2009,276.407309029402,176994845.718662
2010,276.694336060347,3216165013.95719
2011,276.49247860233,3136102615.64491
2012,276.577887414457,237727963.91086
2013,276.868583826958,2944252880.65836
2014,276.829636260045,292894571.398057
2015,276.800501963118,7069586733.53935
2016,276.75861831103,Inf
2017,276.829331713865,Inf
2018,276.810134505587,0
2019,277.114069730421,0
2020,277.355179987451,0
2021,277.207232900192,0
2022,276.900015658828,0
2023,277.151974823401,0
2024,277.183289191934,0
2025,277.208545486723,0
2026,277.423809606213,0
2027,277.514937270593,0
2028,277.384788627065,0
2029,277.405328550979,0
2030,277.331852433327,0
2031,277.337818908586,0
2032,277.433440494264,0
2033,277.461376567021,0
2034,277.332484691131,0
2035,277.588888336429,NA
2036,277.640020661115,3.71456645927741
2037,277.732823328754,7.48931326464462
2038,278.002879754171,7.63762830043539
2039,277.841502918083,7.7747974344888
2040,277.782166795719,9.78476118562214
2041,277.836000122056,10.3764215702573
2042,277.929294526833,9.96484163399428
2043,277.622248410419,8.3343718429136
2044,277.875049241525,6.90262173357078
2045,278.065022464955,4.67680272064399
2046,278.009337269923,3.3090520916402
2047,278.092170681331,2.58749139374539
2048,278.269013879499,2.2372970328051
2049,278.226079875024,2.00996479873822
2050,278.272535385605,2.08881967509651
2051,278.260864051133,1.92646676072036
2052,278.098524674955,1.59452198102042
2053,278.139236380208,1.64353979963178
2054,278.284830849204,1.52586648977436
2055,278.448629402288,1.42203071724252
2056,278.290957892704,1.65308841981809
2057,278.259855232941,1.78921227704541
2058,278.453091632682,2.21941239910848
2059,278.570752384613,2.22787571459671
2060,278.789593312909,2.48156748589108
2061,278.641009217257,2.88757449175178
2062,278.492093556503,2.07022698158308
2063,278.504398459911,1.98715881240769
2064,278.625594394371,2.02651379150109
2065,278.921183092345,2.09484482694843
2066,278.641419127352,2.1743215056887
2067,278.622417057152,1.53526001315334
2068,278.714543843916,1.71837684262208
2069,278.627798003056,1.52791360702518
2070,278.376996311709,1.76333895820097
2071,278.749531331376,2.00567394116395
2072,278.601110235904,2.75674356902027
2073,278.741093468595,2.69557707460905
2074,278.792728631309,2.96582211198429
2075,278.761504055014,4.181287679058
2076,279.006740597647,5.06972954349662
2077,278.890283605301,5.6173215514367
2078,279.042270806978,6.43493428500423
2079,279.086010459429,3.6488883521081
2080,279.094531997193,3.2548136619557
